*	name	The 2500 most common chinese characters
前	"汉字: 前
拼音: qian2
英文: before/in front/ago/former/previous/earlier/front
五笔:ue.uej.uejj
F(x):93"	tts_前.mp3		2,0,11,11,12,13,4320,2015-09-26 22:33,2016-10-09 22:33	
开	"汉字: 开
拼音: kai1
英文: open/operate (vehicle)/start
五笔:ga.gak
F(x):94"	tts_开.mp3		2,0,8,8,11,12,4320,2015-09-24 21:15,2016-10-07 21:15	
但	"汉字: 但
拼音: dan4
英文: but/yet/however/only/merely/still
五笔:wjg.wjgg
F(x):95"	tts_但.mp3		2,0,13,13,12,13,4320,2016-02-03 21:56,2017-01-11 21:56	
因	"汉字: 因
拼音: yin1
英文: cause/reason/because
五笔:ld.ldi
F(x):96"	tts_因.mp3		2,0,21,18,7,8,3916,2015-09-21 20:36,2016-09-18 00:36	
只	"汉字: 只
拼音: qi2/zhi1/zhi3
英文: earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only
五笔:kw.kwu
F(x):97"	tts_只.mp3		3,0,7,7,12,13,4320,2015-10-06 20:29,2015-10-05 21:50	
从	"汉字: 从
拼音: cong1/cong2/zong4
英文: lax/yielding/unhurried, from/obey/observe/follow, second cousin
五笔:ww.wwy
F(x):98"	tts_从.mp3		2,0,18,15,7,8,4122,2015-10-19 21:27,2016-10-15 15:27	
想	"汉字: 想
拼音: xiang3
英文: to think/to believe/to suppose/to wish/to want/to miss
五笔:shn.shnu
F(x):99"	tts_想.mp3		2,0,12,11,12,13,4320,2016-01-23 21:26,2016-12-31 21:26	
实	"汉字: 实
拼音: shi2
英文: real/true/honest/really/solid
五笔:pu.pud.pudu
F(x):100"	tts_实.mp3		2,0,22,18,8,9,4133,2015-11-06 18:39,2016-10-30 00:39	
日	"汉字: 日
拼音: ri4
英文: Japan/day/sun/date/day of the month
五笔:jjjj
F(x):101"	tts_日.mp3		3,0,7,7,12,13,4320,2015-05-30 21:45,2015-05-29 22:15	
军	"汉字: 军
拼音: 1-Jun
英文: army/military/arms
五笔:pl.plj
F(x):102"	tts_军.mp3		3,0,9,9,11,12,4320,2015-05-30 21:46,2015-05-28 22:10	
